H1,H3,ER1,ER3,TD1,TD3,H2,W,S,EDW,SIGMA,H,FNAME,Z0SE(1_SE),S0SE(1_SE),KBSENB(1_1),KFSENB(1_1),A(1_1)
4.1404,4.6762,3.7333,3.3649,0.029641,0.027717,2.2405,5.3166,28.31,0.3862,5.00E+07,15,SPIMDL00086.TAB,37.56517083708968,1.5957420273495156E8,6.697587868901055E-5,-4.028100679051393E-14,0.5400223727101345
1.4507,6.0111,4.5054,3.7698,0.021417,0.022856,0.92609,8.8422,22.026,0.095659,5.00E+07,15,SPIMDL00087.TAB,16.953439057340297,1.4486029103265965E8,1.4702560424401189E-5,-3.857548665508344E-14,0.48578403616671373
6.3556,3.7194,4.5091,3.1676,0.04718,0.048737,1.9501,7.7979,15.97,0.33994,5.00E+07,15,SPIMDL00088.TAB,30.62903198884298,1.5679316904138988E8,0.0026023328044277603,3.1653256721670414E-13,0.8884585517002134
3.032,6.0235,4.5999,3.5281,0.018906,0.0067504,2.3673,4.1879,20.445,0.74453,5.00E+07,15,SPIMDL00089.TAB,39.087176503509404,1.4855363893333775E8,6.172457622639611E-4,-1.3300600369103001E-12,0.20998291816110648
5.9362,3.5445,4.1732,3.2775,0.030177,0.031651,1.6506,6.9641,11.301,0.3008,5.00E+07,15,SPIMDL00090.TAB,33.273527263779556,1.5781103389562145E8,0.007024418962763694,4.4784230627692054E-13,0.5909275979764802
5.4022,4.9427,3.3672,3.8662,0.01444,0.019389,2.4578,5.7452,29.279,0.049531,5.00E+07,15,SPIMDL00091.TAB,38.449038971996615,1.5669406307351252E8,1.8778350834405952E-4,9.978540171130416E-14,0.3609414980925062
4.722,6.0852,4.5326,3.8451,0.045271,0.039877,0.81208,4.1583,25.615,0.22204,5.00E+07,15,SPIMDL00092.TAB,46.291862533422226,1.4661843456780097E8,1.9724199655335564E-4,-1.6288320679407574E-13,0.8223604551882934
6.9248,3.0775,3.2966,3.8713,0.027439,0.035761,2.4331,3.5756,21.181,0.40853,5.00E+07,15,SPIMDL00093.TAB,42.25647633950144,1.561503983955187E8,0.0010344866922769654,-2.696500552540148E-13,0.6477996400150329
1.4024,9.6076,3.1352,3.3111,0.014462,0.0012758,1.4743,2.0566,13.461,0.55095,5.00E+07,15,SPIMDL00094.TAB,47.579670927319235,1.674032041949654E8,0.0029644342787245584,1.923284375974003E-12,0.1361235377438625
1.682,2.6375,3.2757,3.2154,0.028956,0.036461,2.4411,3.1325,9.3564,0.241,5.00E+07,15,SPIMDL00095.TAB,30.733387377790542,1.6646175390734935E8,0.004670138737058179,-2.4179005222191823E-11,0.798074227550849
3.6192,6.1947,4.6124,3.7467,0.035812,0.036432,1.1876,4.3599,26.849,0.36673,5.00E+07,15,SPIMDL00096.TAB,40.90099299775794,1.464058992847601E8,8.034362434135487E-5,-1.4873111370653223E-13,0.7316290876012814
5.0341,10.309,3.4731,3.6924,0.013936,0.047967,1.1379,3.889,19.265,0.46656,5.00E+07,15,SPIMDL00097.TAB,56.6965737544429,1.5852299230481398E8,0.005104792103752253,1.614367093892527E-12,0.7302865549041364
4.6181,11.661,4.2405,3.2921,0.042496,0.023002,2.0306,2.0855,7.4443,0.56126,5.00E+07,15,SPIMDL00098.TAB,63.55037882847102,1.5475871137806416E8,0.061247344391685304,-5.3120653566561646E-11,0.5411591160781865
2.9644,8.4603,3.5163,3.6864,0.027986,0.033979,0.82638,8.3707,24.776,0.51696,5.00E+07,15,SPIMDL00099.TAB,31.04057778886016,1.5846962998051396E8,1.8282734700908834E-4,1.03268204048296E-13,0.6157555246799266
3.9463,10.411,3.1961,4.5152,0.0052823,0.01067,2.0432,2.5009,21.004,0.10568,5.00E+07,15,SPIMDL00100.TAB,55.86543993701539,1.5282944346703827E8,0.004601701712168232,9.970793249593329E-12,0.19807077142447607
2.2378,8.8459,3.906,4.5833,0.043555,0.0028283,0.3877,5.0977,8.57,0.67927,5.00E+07,15,SPIMDL00101.TAB,36.78988532085247,1.4739921955863515E8,0.009331383993045287,9.45995926769715E-12,0.2787694665130672
2.3352,4.0925,3.4373,3.5612,0.031034,0.012374,1.2192,3.2184,7.014,0.28544,5.00E+07,15,SPIMDL00102.TAB,41.81728480687961,1.6029458005284256E8,0.011294787054744897,1.6973527558513973E-12,0.3346902172764031
3.1127,8.4819,3.6667,4.396,0.0239,0.041736,2.2015,4.1742,10.25,0.39052,5.00E+07,15,SPIMDL00103.TAB,38.99338845692855,1.4989050911502066E8,0.019494666465612633,1.8253299096867573E-11,0.7395560449519267
4.2185,6.2047,3.2374,3.2395,0.035809,0.021194,1.6535,2.1019,14.879,0.74128,5.00E+07,15,SPIMDL00104.TAB,65.64618063365864,1.6658911193312258E8,0.005264002656998704,-3.0095601121314398E-15,0.46636231493150915
3.3914,7.5038,4.1323,3.2871,0.016211,0.0035045,1.0163,3.1013,12.595,0.71866,5.00E+07,15,SPIMDL00105.TAB,56.174595911878086,1.5497284342329994E8,0.005948266936684906,-7.0783738026044376E-12,0.13690173406223582
4.7247,9.8837,4.1346,4.4041,0.028162,0.039563,1.4336,4.6943,10.022,0.61052,5.00E+07,15,SPIMDL00106.TAB,46.340435295354055,1.4525083774226025E8,0.027628501561371366,6.2685835864855575E-12,0.7454953411203133
5.1382,7.1153,3.0655,3.746,0.0050327,0.035896,2.0423,5.4084,6.0566,0.3201,5.00E+07,15,SPIMDL00107.TAB,45.22429872941254,1.6209815418179518E8,0.06242543590908883,2.1277783521291037E-11,0.6003590601793682
6.3508,2.6264,3.4308,3.0811,0.022089,0.029076,0.75364,4.1636,10.209,0.61093,5.00E+07,15,SPIMDL00108.TAB,46.37063924361228,1.67453773617458E8,0.0056734988960620274,2.0611038448924145E-12,0.49181848590326654
3.5689,6.9902,4.3921,4.558,0.0018787,0.02767,0.60155,3.0916,14.718,0.33425,5.00E+07,15,SPIMDL00109.TAB,51.35237291251762,1.418186836436513E8,0.0030027973452665777,6.540057808440433E-13,0.45766328719681176
5.9559,12.69,3.8798,4.4078,0.049913,0.039227,0.41054,3.6791,18.804,0.2864,5.00E+07,15,SPIMDL00110.TAB,61.99268928742898,1.4774488399915096E8,0.008495695483436778,5.0650849073130025E-12,0.8476211725889647
3.4381,2.9783,3.5428,3.2506,0.0084494,0.016687,2.04,7.8555,17.529,0.52446,5.00E+07,15,SPIMDL00111.TAB,26.349760380262776,1.6317953290211514E8,2.1231186722845492E-4,-7.427373506613984E-14,0.27698855670527767
3.6643,7.5798,3.9758,3.5071,0.037194,0.019936,1.1656,7.131,25.945,0.18189,5.00E+07,15,SPIMDL00112.TAB,35.4210523281152,1.5439665223769408E8,1.9686434283594246E-4,-2.0882033833148373E-13,0.4754483128348632
